variable,valor
a_zt[1,1],0.0
a_zt[1,2],0.0
a_zt[1,3],0.0
a_zt[1,4],0.0
a_zt[1,5],1312.6679825941665
a_zt[1,6],1312.6679825941665
a_zt[1,7],1312.6679825941665
a_zt[1,8],1312.6679825941665
a_zt[1,9],1312.6679825941665
a_zt[1,10],1312.6679825941665
a_zt[1,11],1312.6679825941665
a_zt[1,12],0.0
a_zt[1,13],0.0
a_zt[1,14],0.0
a_zt[1,15],0.0
a_zt[1,16],0.0
a_zt[1,17],1312.6679825941665
a_zt[1,18],1312.6679825941665
a_zt[1,19],1312.6679825941665
a_zt[1,20],1312.6679825941665
a_zt[1,21],1312.6679825941665
a_zt[1,22],1312.6679825941665
a_zt[1,23],1312.6679825941665
a_zt[1,24],0.0
a_zt[2,1],0.0
a_zt[2,2],0.0
a_zt[2,3],0.0
a_zt[2,4],0.0
a_zt[2,5],1115.1645001946467
a_zt[2,6],1115.1645001946467
a_zt[2,7],1115.1645001946467
a_zt[2,8],1115.1645001946467
a_zt[2,9],1115.1645001946467
a_zt[2,10],1115.1645001946467
a_zt[2,11],1115.1645001946467
a_zt[2,12],0.0
a_zt[2,13],0.0
a_zt[2,14],0.0
a_zt[2,15],0.0
a_zt[2,16],0.0
a_zt[2,17],1115.1645001946467
a_zt[2,18],1115.1645001946467
a_zt[2,19],1115.1645001946467
a_zt[2,20],1115.1645001946467
a_zt[2,21],1115.1645001946467
a_zt[2,22],1115.1645001946467
a_zt[2,23],1115.1645001946467
a_zt[2,24],0.0
a_zt[3,1],0.0
a_zt[3,2],0.0
a_zt[3,3],0.0
a_zt[3,4],0.0
a_zt[3,5],1312.713425396
a_zt[3,6],1312.713425396
a_zt[3,7],1312.713425396
a_zt[3,8],1312.713425396
a_zt[3,9],1312.713425396
a_zt[3,10],1312.713425396
a_zt[3,11],1312.713425396
a_zt[3,12],0.0
a_zt[3,13],0.0
a_zt[3,14],0.0
a_zt[3,15],0.0
a_zt[3,16],0.0
a_zt[3,17],1312.713425396
a_zt[3,18],1312.713425396
a_zt[3,19],1312.713425396
a_zt[3,20],1312.713425396
a_zt[3,21],1312.713425396
a_zt[3,22],1312.713425396
a_zt[3,23],1312.713425396
a_zt[3,24],0.0
a_zt[4,1],0.0
a_zt[4,2],0.0
a_zt[4,3],0.0
a_zt[4,4],0.0
a_zt[4,5],839.1745659550763
a_zt[4,6],839.1745659550763
a_zt[4,7],839.1745659550763
a_zt[4,8],839.1745659550763
a_zt[4,9],839.1745659550763
a_zt[4,10],839.1745659550763
a_zt[4,11],839.1745659550763
a_zt[4,12],0.0
a_zt[4,13],0.0
a_zt[4,14],0.0
a_zt[4,15],0.0
a_zt[4,16],0.0
a_zt[4,17],839.1745659550763
a_zt[4,18],839.1745659550763
a_zt[4,19],839.1745659550763
a_zt[4,20],839.1745659550763
a_zt[4,21],839.1745659550763
a_zt[4,22],839.1745659550763
a_zt[4,23],839.1745659550763
a_zt[4,24],0.0
a_zt[5,1],0.0
a_zt[5,2],0.0
a_zt[5,3],0.0
a_zt[5,4],0.0
a_zt[5,5],1236.6229525893596
a_zt[5,6],1236.6229525893596
a_zt[5,7],1236.6229525893596
a_zt[5,8],1236.6229525893596
a_zt[5,9],1236.6229525893596
a_zt[5,10],1236.6229525893596
a_zt[5,11],1236.6229525893596
a_zt[5,12],0.0
a_zt[5,13],0.0
a_zt[5,14],0.0
a_zt[5,15],0.0
a_zt[5,16],0.0
a_zt[5,17],1236.6229525893596
a_zt[5,18],1236.6229525893596
a_zt[5,19],1236.6229525893596
a_zt[5,20],1236.6229525893596
a_zt[5,21],1236.6229525893596
a_zt[5,22],1236.6229525893596
a_zt[5,23],1236.6229525893596
a_zt[5,24],0.0
a_zt[6,1],0.0
a_zt[6,2],0.0
a_zt[6,3],0.0
a_zt[6,4],0.0
a_zt[6,5],1357.350412260077
a_zt[6,6],1357.350412260077
a_zt[6,7],1357.350412260077
a_zt[6,8],1357.350412260077
a_zt[6,9],1357.350412260077
a_zt[6,10],1357.350412260077
