variable,valor
a_zt[1,1],0.0
a_zt[1,2],0.0
a_zt[1,3],0.0
a_zt[1,4],0.0
a_zt[1,5],754.655892529839
a_zt[1,6],754.655892529839
a_zt[1,7],754.655892529839
a_zt[1,8],754.655892529839
a_zt[1,9],754.655892529839
a_zt[1,10],754.655892529839
a_zt[1,11],754.655892529839
a_zt[1,12],0.0
a_zt[1,13],0.0
a_zt[1,14],0.0
a_zt[1,15],0.0
a_zt[1,16],0.0
a_zt[1,17],754.655892529839
a_zt[1,18],754.655892529839
a_zt[1,19],754.655892529839
a_zt[1,20],754.655892529839
a_zt[1,21],754.655892529839
a_zt[1,22],754.655892529839
a_zt[1,23],754.655892529839
a_zt[1,24],0.0
a_zt[2,1],0.0
a_zt[2,2],0.0
a_zt[2,3],0.0
a_zt[2,4],0.0
a_zt[2,5],695.8717709942453
a_zt[2,6],695.8717709942453
a_zt[2,7],695.8717709942453
a_zt[2,8],695.8717709942453
a_zt[2,9],695.8717709942453
a_zt[2,10],695.8717709942453
a_zt[2,11],695.8717709942453
a_zt[2,12],0.0
a_zt[2,13],0.0
a_zt[2,14],0.0
a_zt[2,15],0.0
a_zt[2,16],0.0
a_zt[2,17],695.8717709942453
a_zt[2,18],695.8717709942453
a_zt[2,19],695.8717709942453
a_zt[2,20],695.8717709942453
a_zt[2,21],695.8717709942453
a_zt[2,22],695.8717709942453
a_zt[2,23],695.8717709942453
a_zt[2,24],0.0
a_zt[3,1],0.0
a_zt[3,2],0.0
a_zt[3,3],0.0
a_zt[3,4],0.0
a_zt[3,5],1526.202119820197
a_zt[3,6],1526.202119820197
a_zt[3,7],1526.202119820197
a_zt[3,8],1526.202119820197
a_zt[3,9],1526.202119820197
a_zt[3,10],1526.202119820197
a_zt[3,11],1526.202119820197
a_zt[3,12],0.0
a_zt[3,13],0.0
a_zt[3,14],0.0
a_zt[3,15],0.0
a_zt[3,16],0.0
a_zt[3,17],1526.202119820197
a_zt[3,18],1526.202119820197
a_zt[3,19],1526.202119820197
a_zt[3,20],1526.202119820197
a_zt[3,21],1526.202119820197
a_zt[3,22],1526.202119820197
a_zt[3,23],1526.202119820197
a_zt[3,24],0.0
a_zt[4,1],0.0
a_zt[4,2],0.0
a_zt[4,3],0.0
a_zt[4,4],0.0
a_zt[4,5],1241.311606651264
a_zt[4,6],1241.311606651264
a_zt[4,7],1241.311606651264
a_zt[4,8],1241.311606651264
a_zt[4,9],1241.311606651264
a_zt[4,10],1241.311606651264
a_zt[4,11],1241.311606651264
a_zt[4,12],0.0
a_zt[4,13],0.0
a_zt[4,14],0.0
a_zt[4,15],0.0
a_zt[4,16],0.0
a_zt[4,17],1241.311606651264
a_zt[4,18],1241.311606651264
a_zt[4,19],1241.311606651264
a_zt[4,20],1241.311606651264
a_zt[4,21],1241.311606651264
a_zt[4,22],1241.311606651264
a_zt[4,23],1241.311606651264
a_zt[4,24],0.0
a_zt[5,1],0.0
a_zt[5,2],0.0
a_zt[5,3],0.0
a_zt[5,4],0.0
a_zt[5,5],1015.7625128702274
a_zt[5,6],1015.7625128702274
a_zt[5,7],1015.7625128702274
a_zt[5,8],1015.7625128702274
a_zt[5,9],1015.7625128702274
a_zt[5,10],1015.7625128702274
a_zt[5,11],1015.7625128702274
a_zt[5,12],0.0
a_zt[5,13],0.0
a_zt[5,14],0.0
a_zt[5,15],0.0
a_zt[5,16],0.0
a_zt[5,17],1015.7625128702274
a_zt[5,18],1015.7625128702274
a_zt[5,19],1015.7625128702274
a_zt[5,20],1015.7625128702274
a_zt[5,21],1015.7625128702274
a_zt[5,22],1015.7625128702274
a_zt[5,23],1015.7625128702274
a_zt[5,24],0.0
a_zt[6,1],0.0
a_zt[6,2],0.0
a_zt[6,3],0.0
a_zt[6,4],0.0
a_zt[6,5],1836.6674649268132
a_zt[6,6],1836.6674649268132
a_zt[6,7],1836.6674649268132
a_zt[6,8],1836.6674649268132
a_zt[6,9],1836.6674649268132
a_zt[6,10],1836.6674649268132
a_zt[6,11],1836.6674649268132
